,Dependent Variable,Feature,Coefficient,Std Err,t Value,P Value
0,target_case,spi_fob,0.0007428429703846155,7.855300519884813e-05,9.456582450336455,3.736314780741509e-17
1,target_case,wdi_pop14,-0.001146110222292858,0.00011504051937648316,-9.96266557648338,1.0539923352387975e-18
2,target_case,wdi_broadb,0.0008321683721309766,8.624503880991391e-05,9.64888396612697,8.006538354478505e-18
3,target_case,ccodecow,-3.010915357612449e-05,6.306194188275559e-06,-4.774536380770396,3.88281586266689e-06
4,target_case,who_halef,0.0017078267213070362,0.00019201553526738125,8.894211184157005,9.637926798172343e-16
5,target_case,wdi_dgovhexp,0.004360687293900607,0.0006131007751948048,7.112513097891705,3.293402196363554e-11
6,target_case,van_index,0.0007656920886537017,0.00011536720369606886,6.636999633543104,4.339067205960806e-10
7,target_case,fao_lupas,-0.00013098607835797184,8.691845799817401e-05,-1.5069995645887275,0.1337345887563626
8,target_death,spi_fob,1.3853475463053858e-05,1.9249027620710496e-06,7.196974172424464,2.2136723572516807e-11
9,target_death,wdi_pop14,-2.035918294604255e-05,2.7216194789227213e-06,-7.480539841705269,3.780248407001854e-12
10,target_death,wdi_broadb,1.44530139568398e-05,2.046445465895792e-06,7.062496508067598,4.068948342315189e-11
11,target_death,ccodecow,-8.763048125262115e-07,1.3012003428236205e-07,-6.734587931514215,2.4620652978060965e-10
12,target_death,who_halef,3.3314773037921354e-05,4.586858284603496e-06,7.2630918530331705,1.3969068828396285e-11
13,target_death,wdi_dgovhexp,9.311550070091524e-05,1.340371328724107e-05,6.946992874694764,8.20346754933923e-11
14,target_death,van_index,1.8921614145491543e-05,2.3652743374240196e-06,7.999754551135389,2.035750014355684e-13
15,target_death,fao_lupas,-1.2595373135256544e-06,1.8719205805692056e-06,-0.6728583074516226,0.5019844318822309
